epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Unknown,0.8256774922205324,0,1
1,train,1,class_1,0.0,0,1
1,train,2,Left-Cerebral-White-Matter,0.3629365584090398,1,0
1,train,3,Left-Cerebral-Cortex,0.010244423562514076,1,0
1,train,4,Left-Lateral-Ventricle,0.0,1,0
1,train,5,Left-Inf-Lat-Vent,0.0,1,0
1,train,6,class_6,0.0,0,1
1,train,7,Left-Cerebellum-White-Matter,3.490573072761804e-05,1,0
1,train,8,Left-Cerebellum-Cortex,0.00023235467075900204,1,0
1,train,9,class_9,0.0,0,1
1,train,10,Left-Thalamus,0.0003521455421761064,1,0
1,train,11,Left-Caudate,7.348969490726155e-06,1,0
1,train,12,Left-Putamen,0.0,1,0
1,train,13,Left-Pallidum,0.0,1,0
1,train,14,3rd-Ventricle,0.0,1,0
1,train,15,4th-Ventricle,0.0,1,0
1,train,16,Brain-Stem,0.0,1,0
1,train,17,Left-Hippocampus,0.0,1,0
1,train,18,Left-Amygdala,0.0,1,0
1,train,19,class_19,0.0,0,1
1,train,20,class_20,0.0,0,1
1,train,21,class_21,0.0,0,1
1,train,22,class_22,0.0,0,1
1,train,23,class_23,0.0,0,1
1,train,24,CSF,0.05364847909376882,1,0
1,train,25,class_25,0.0,0,1
1,train,26,Left-Accumbens-area,0.0,1,0
1,train,27,class_27,0.0,0,1
1,train,28,Left-VentralDC,0.0,1,0
1,train,29,class_29,0.0,0,1
1,train,30,class_30,0.0,0,1
1,train,31,class_31,0.0,0,1
1,train,32,class_32,0.0,0,1
1,train,33,class_33,0.0,0,1
1,train,34,class_34,0.0,0,1
1,train,35,class_35,0.0,0,1
1,train,36,class_36,0.0,0,1
1,train,37,class_37,0.0,0,1
1,train,38,class_38,0.0,0,1
1,train,39,class_39,0.0,0,1
1,train,40,class_40,0.0,0,1
1,train,41,Right-Cerebral-White-Matter,0.34091764470932895,1,0
1,train,42,Right-Cerebral-Cortex,0.020236631100281705,1,0
1,train,43,Right-Lateral-Ventricle,0.0,1,0
1,train,44,Right-Inf-Lat-Vent,0.0,1,0
1,train,45,class_45,0.0,0,1
1,train,46,Right-Cerebellum-White-Matter,0.0027504004539349335,1,0
1,train,47,Right-Cerebellum-Cortex,0.004248385794083553,1,0
1,train,48,class_48,0.0,0,1
1,train,49,Right-Thalamus,0.0,1,0
1,train,50,Right-Caudate,0.0,1,0
1,train,51,Right-Putamen,0.0,1,0
1,train,52,Right-Pallidum,0.0,1,0
1,train,53,Right-Hippocampus,0.0,1,0
1,train,54,Right-Amygdala,0.0,1,0
1,train,55,class_55,0.0,0,1
1,train,56,class_56,0.0,0,1
1,train,57,class_57,0.0,0,1
1,train,58,Right-Accumbens-area,0.0,1,0
1,train,59,class_59,0.0,0,1
1,train,60,Right-VentralDC,0.0,1,0
1,train,61,class_61,0.0,0,1
1,train,62,class_62,0.0,0,1
1,train,63,class_63,0.0,0,1
1,train,64,class_64,0.0,0,1
1,train,65,class_65,0.0,0,1
1,train,66,class_66,0.0,0,1
1,train,67,class_67,0.0,0,1
1,train,68,class_68,0.0,0,1
1,train,69,class_69,0.0,0,1
1,train,70,class_70,0.0,0,1
1,train,71,class_71,0.0,0,1
1,train,72,class_72,0.0,0,1
1,train,73,class_73,0.0,0,1
1,train,74,class_74,0.0,0,1
1,train,75,class_75,0.0,0,1
1,train,76,class_76,0.0,0,1
1,train,77,class_77,0.0,0,1
1,train,78,class_78,0.0,0,1
1,train,79,class_79,0.0,0,1
1,train,80,class_80,0.0,0,1
1,train,81,class_81,0.0,0,1
1,train,82,class_82,0.0,0,1
1,train,83,class_83,0.0,0,1
1,train,84,class_84,0.0,0,1
1,train,85,class_85,0.0,0,1
1,train,86,class_86,0.0,0,1
1,train,87,class_87,0.0,0,1
1,train,88,class_88,0.0,0,1
1,train,89,class_89,0.0,0,1
1,train,90,class_90,0.0,0,1
1,train,91,class_91,0.0,0,1
1,train,92,class_92,0.0,0,1
1,train,93,class_93,0.0,0,1
1,train,94,class_94,0.0,0,1
1,train,95,class_95,0.0,0,1
1,train,96,class_96,0.0,0,1
1,train,97,class_97,0.0,0,1
1,train,98,class_98,0.0,0,1
1,train,99,class_99,0.0,0,1
1,train,100,Non-Brain-1,0.007999615296916923,1,0
1,train,101,Non-Brain-2,0.21255306701724985,1,0
1,train,102,Non-Brain-3,0.21141950476383892,1,0
1,train,103,Non-Brain-4,0.16281472909126773,1,0
1,train,104,Non-Brain-5,1.7750810352226251e-06,1,0
1,train,105,Non-Brain-6,0.0,1,0
1,eval,0,Unknown,0.9610584776785931,0,1
1,eval,1,class_1,0.0,0,1
1,eval,2,Left-Cerebral-White-Matter,0.5986331662798033,1,0
1,eval,3,Left-Cerebral-Cortex,0.04982916170023906,1,0
1,eval,4,Left-Lateral-Ventricle,0.0,1,0
1,eval,5,Left-Inf-Lat-Vent,0.0,1,0
1,eval,6,class_6,0.0,0,1
1,eval,7,Left-Cerebellum-White-Matter,0.0,1,0
1,eval,8,Left-Cerebellum-Cortex,0.0,1,0
1,eval,9,class_9,0.0,0,1
1,eval,10,Left-Thalamus,0.0,1,0
1,eval,11,Left-Caudate,0.0,1,0
1,eval,12,Left-Putamen,0.0,1,0
1,eval,13,Left-Pallidum,0.0,1,0
1,eval,14,3rd-Ventricle,0.0,1,0
1,eval,15,4th-Ventricle,0.0,1,0
1,eval,16,Brain-Stem,0.0,1,0
1,eval,17,Left-Hippocampus,0.0,1,0
1,eval,18,Left-Amygdala,0.0,1,0
1,eval,19,class_19,0.0,0,1
1,eval,20,class_20,0.0,0,1
1,eval,21,class_21,0.0,0,1
1,eval,22,class_22,0.0,0,1
1,eval,23,class_23,0.0,0,1
1,eval,24,CSF,0.21927623443323002,1,0
1,eval,25,class_25,0.0,0,1
1,eval,26,Left-Accumbens-area,0.0,1,0
1,eval,27,class_27,0.0,0,1
1,eval,28,Left-VentralDC,0.0,1,0
1,eval,29,class_29,0.0,0,1
1,eval,30,class_30,0.0,0,1
1,eval,31,class_31,0.0,0,1
1,eval,32,class_32,0.0,0,1
1,eval,33,class_33,0.0,0,1
1,eval,34,class_34,0.0,0,1
1,eval,35,class_35,0.0,0,1
1,eval,36,class_36,0.0,0,1
1,eval,37,class_37,0.0,0,1
1,eval,38,class_38,0.0,0,1
1,eval,39,class_39,0.0,0,1
1,eval,40,class_40,0.0,0,1
1,eval,41,Right-Cerebral-White-Matter,0.6223221206333223,1,0
1,eval,42,Right-Cerebral-Cortex,0.06360403864580673,1,0
1,eval,43,Right-Lateral-Ventricle,0.0,1,0
1,eval,44,Right-Inf-Lat-Vent,0.0,1,0
1,eval,45,class_45,0.0,0,1
1,eval,46,Right-Cerebellum-White-Matter,0.0,1,0
1,eval,47,Right-Cerebellum-Cortex,0.0,1,0
1,eval,48,class_48,0.0,0,1
1,eval,49,Right-Thalamus,0.0,1,0
1,eval,50,Right-Caudate,0.0,1,0
1,eval,51,Right-Putamen,0.0,1,0
1,eval,52,Right-Pallidum,0.0,1,0
1,eval,53,Right-Hippocampus,0.0,1,0
1,eval,54,Right-Amygdala,0.0,1,0
1,eval,55,class_55,0.0,0,1
1,eval,56,class_56,0.0,0,1
1,eval,57,class_57,0.0,0,1
1,eval,58,Right-Accumbens-area,0.0,1,0
1,eval,59,class_59,0.0,0,1
1,eval,60,Right-VentralDC,0.0,1,0
1,eval,61,class_61,0.0,0,1
1,eval,62,class_62,0.0,0,1
1,eval,63,class_63,0.0,0,1
1,eval,64,class_64,0.0,0,1
1,eval,65,class_65,0.0,0,1
1,eval,66,class_66,0.0,0,1
1,eval,67,class_67,0.0,0,1
1,eval,68,class_68,0.0,0,1
1,eval,69,class_69,0.0,0,1
1,eval,70,class_70,0.0,0,1
1,eval,71,class_71,0.0,0,1
1,eval,72,class_72,0.0,0,1
1,eval,73,class_73,0.0,0,1
1,eval,74,class_74,0.0,0,1
1,eval,75,class_75,0.0,0,1
1,eval,76,class_76,0.0,0,1
1,eval,77,class_77,0.0,0,1
1,eval,78,class_78,0.0,0,1
1,eval,79,class_79,0.0,0,1
1,eval,80,class_80,0.0,0,1
1,eval,81,class_81,0.0,0,1
1,eval,82,class_82,0.0,0,1
1,eval,83,class_83,0.0,0,1
1,eval,84,class_84,0.0,0,1
1,eval,85,class_85,0.0,0,1
1,eval,86,class_86,0.0,0,1
1,eval,87,class_87,0.0,0,1
1,eval,88,class_88,0.0,0,1
1,eval,89,class_89,0.0,0,1
1,eval,90,class_90,0.0,0,1
1,eval,91,class_91,0.0,0,1
1,eval,92,class_92,0.0,0,1
1,eval,93,class_93,0.0,0,1
1,eval,94,class_94,0.0,0,1
1,eval,95,class_95,0.0,0,1
1,eval,96,class_96,0.0,0,1
1,eval,97,class_97,0.0,0,1
1,eval,98,class_98,0.0,0,1
1,eval,99,class_99,0.0,0,1
1,eval,100,Non-Brain-1,0.024493131530656582,1,0
1,eval,101,Non-Brain-2,0.3225097789369567,1,0
1,eval,102,Non-Brain-3,0.27296665868193926,1,0
1,eval,103,Non-Brain-4,0.29020178930020185,1,0
1,eval,104,Non-Brain-5,0.0,1,0
1,eval,105,Non-Brain-6,0.0,1,0
2,train,0,Unknown,0.9508265463040432,0,1
2,train,1,class_1,0.0,0,1
2,train,2,Left-Cerebral-White-Matter,0.6399383937617216,1,0
2,train,3,Left-Cerebral-Cortex,0.33756488017846553,1,0
2,train,4,Left-Lateral-Ventricle,0.0,1,0
2,train,5,Left-Inf-Lat-Vent,0.0,1,0
2,train,6,class_6,0.0,0,1
2,train,7,Left-Cerebellum-White-Matter,0.0,1,0
2,train,8,Left-Cerebellum-Cortex,4.414988296598609e-05,1,0
2,train,9,class_9,0.0,0,1
2,train,10,Left-Thalamus,0.0,1,0
2,train,11,Left-Caudate,0.0,1,0
2,train,12,Left-Putamen,0.0,1,0
2,train,13,Left-Pallidum,0.0,1,0
2,train,14,3rd-Ventricle,0.0,1,0
2,train,15,4th-Ventricle,0.0,1,0
2,train,16,Brain-Stem,0.0,1,0
2,train,17,Left-Hippocampus,0.0,1,0
2,train,18,Left-Amygdala,0.0,1,0
2,train,19,class_19,0.0,0,1
2,train,20,class_20,0.0,0,1
2,train,21,class_21,0.0,0,1
2,train,22,class_22,0.0,0,1
2,train,23,class_23,0.0,0,1
2,train,24,CSF,0.23149092558833934,1,0
2,train,25,class_25,0.0,0,1
2,train,26,Left-Accumbens-area,0.0,1,0
2,train,27,class_27,0.0,0,1
2,train,28,Left-VentralDC,0.0,1,0
2,train,29,class_29,0.0,0,1
2,train,30,class_30,0.0,0,1
2,train,31,class_31,0.0,0,1
2,train,32,class_32,0.0,0,1
2,train,33,class_33,0.0,0,1
2,train,34,class_34,0.0,0,1
2,train,35,class_35,0.0,0,1
2,train,36,class_36,0.0,0,1
2,train,37,class_37,0.0,0,1
2,train,38,class_38,0.0,0,1
2,train,39,class_39,0.0,0,1
2,train,40,class_40,0.0,0,1
2,train,41,Right-Cerebral-White-Matter,0.6323753799514449,1,0
2,train,42,Right-Cerebral-Cortex,0.24120020665789418,1,0
2,train,43,Right-Lateral-Ventricle,0.0,1,0
2,train,44,Right-Inf-Lat-Vent,0.0,1,0
2,train,45,class_45,0.0,0,1
2,train,46,Right-Cerebellum-White-Matter,0.0,1,0
2,train,47,Right-Cerebellum-Cortex,0.003405911298360237,1,0
2,train,48,class_48,0.0,0,1
2,train,49,Right-Thalamus,0.0,1,0
2,train,50,Right-Caudate,0.0,1,0
2,train,51,Right-Putamen,0.0,1,0
2,train,52,Right-Pallidum,0.0,1,0
2,train,53,Right-Hippocampus,0.0,1,0
2,train,54,Right-Amygdala,0.0,1,0
2,train,55,class_55,0.0,0,1
2,train,56,class_56,0.0,0,1
2,train,57,class_57,0.0,0,1
2,train,58,Right-Accumbens-area,0.0,1,0
2,train,59,class_59,0.0,0,1
2,train,60,Right-VentralDC,0.0,1,0
2,train,61,class_61,0.0,0,1
2,train,62,class_62,0.0,0,1
2,train,63,class_63,0.0,0,1
2,train,64,class_64,0.0,0,1
2,train,65,class_65,0.0,0,1
2,train,66,class_66,0.0,0,1
2,train,67,class_67,0.0,0,1
2,train,68,class_68,0.0,0,1
2,train,69,class_69,0.0,0,1
2,train,70,class_70,0.0,0,1
2,train,71,class_71,0.0,0,1
2,train,72,class_72,0.0,0,1
2,train,73,class_73,0.0,0,1
2,train,74,class_74,0.0,0,1
2,train,75,class_75,0.0,0,1
2,train,76,class_76,0.0,0,1
2,train,77,class_77,0.0,0,1
2,train,78,class_78,0.0,0,1
2,train,79,class_79,0.0,0,1
2,train,80,class_80,0.0,0,1
2,train,81,class_81,0.0,0,1
2,train,82,class_82,0.0,0,1
2,train,83,class_83,0.0,0,1
2,train,84,class_84,0.0,0,1
2,train,85,class_85,0.0,0,1
2,train,86,class_86,0.0,0,1
2,train,87,class_87,0.0,0,1
2,train,88,class_88,0.0,0,1
2,train,89,class_89,0.0,0,1
2,train,90,class_90,0.0,0,1
2,train,91,class_91,0.0,0,1
2,train,92,class_92,0.0,0,1
2,train,93,class_93,0.0,0,1
2,train,94,class_94,0.0,0,1
2,train,95,class_95,0.0,0,1
2,train,96,class_96,0.0,0,1
2,train,97,class_97,0.0,0,1
2,train,98,class_98,0.0,0,1
2,train,99,class_99,0.0,0,1
2,train,100,Non-Brain-1,0.20293995446486673,1,0
2,train,101,Non-Brain-2,0.4580186417213037,1,0
2,train,102,Non-Brain-3,0.3678331419267264,1,0
2,train,103,Non-Brain-4,0.40914979174142113,1,0
2,train,104,Non-Brain-5,0.0016328700161394737,1,0
2,train,105,Non-Brain-6,0.0,1,0
2,eval,0,Unknown,0.9645927577061925,0,1
2,eval,1,class_1,0.0,0,1
2,eval,2,Left-Cerebral-White-Matter,0.6893060588109177,1,0
2,eval,3,Left-Cerebral-Cortex,0.3422177202360025,1,0
2,eval,4,Left-Lateral-Ventricle,0.0,1,0
2,eval,5,Left-Inf-Lat-Vent,0.0,1,0
2,eval,6,class_6,0.0,0,1
2,eval,7,Left-Cerebellum-White-Matter,0.0,1,0
2,eval,8,Left-Cerebellum-Cortex,0.0,1,0
2,eval,9,class_9,0.0,0,1
2,eval,10,Left-Thalamus,0.0,1,0
2,eval,11,Left-Caudate,0.0,1,0
2,eval,12,Left-Putamen,0.0,1,0
2,eval,13,Left-Pallidum,0.0,1,0
2,eval,14,3rd-Ventricle,0.0,1,0
2,eval,15,4th-Ventricle,0.0,1,0
2,eval,16,Brain-Stem,0.0,1,0
2,eval,17,Left-Hippocampus,0.0,1,0
2,eval,18,Left-Amygdala,0.0,1,0
2,eval,19,class_19,0.0,0,1
2,eval,20,class_20,0.0,0,1
2,eval,21,class_21,0.0,0,1
2,eval,22,class_22,0.0,0,1
2,eval,23,class_23,0.0,0,1
2,eval,24,CSF,0.3212311275742247,1,0
2,eval,25,class_25,0.0,0,1
2,eval,26,Left-Accumbens-area,0.0,1,0
2,eval,27,class_27,0.0,0,1
2,eval,28,Left-VentralDC,0.0,1,0
2,eval,29,class_29,0.0,0,1
2,eval,30,class_30,0.0,0,1
2,eval,31,class_31,0.0,0,1
2,eval,32,class_32,0.0,0,1
2,eval,33,class_33,0.0,0,1
2,eval,34,class_34,0.0,0,1
2,eval,35,class_35,0.0,0,1
2,eval,36,class_36,0.0,0,1
2,eval,37,class_37,0.0,0,1
2,eval,38,class_38,0.0,0,1
2,eval,39,class_39,0.0,0,1
2,eval,40,class_40,0.0,0,1
2,eval,41,Right-Cerebral-White-Matter,0.6627154491524917,1,0
2,eval,42,Right-Cerebral-Cortex,0.2971663088467217,1,0
2,eval,43,Right-Lateral-Ventricle,0.0,1,0
2,eval,44,Right-Inf-Lat-Vent,0.0,1,0
2,eval,45,class_45,0.0,0,1
2,eval,46,Right-Cerebellum-White-Matter,0.0,1,0
2,eval,47,Right-Cerebellum-Cortex,0.013172282262856395,1,0
2,eval,48,class_48,0.0,0,1
2,eval,49,Right-Thalamus,0.0,1,0
2,eval,50,Right-Caudate,0.0,1,0
2,eval,51,Right-Putamen,0.0,1,0
2,eval,52,Right-Pallidum,0.0,1,0
2,eval,53,Right-Hippocampus,0.0,1,0
2,eval,54,Right-Amygdala,0.0,1,0
2,eval,55,class_55,0.0,0,1
2,eval,56,class_56,0.0,0,1
2,eval,57,class_57,0.0,0,1
