epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Unknown,0.7139032614272828,0
1,train,2,2,Left-Cerebral-White-Matter,2.6591370590267122e-05,1
1,train,3,3,Left-Cerebral-Cortex,3.677702586787036e-05,1
1,train,4,4,Left-Lateral-Ventricle,0.0,1
1,train,5,5,Left-Inf-Lat-Vent,0.0,1
1,train,7,7,Left-Cerebellum-White-Matter,0.0,1
1,train,8,8,Left-Cerebellum-Cortex,0.0,1
1,train,10,10,Left-Thalamus,0.0,1
1,train,11,11,Left-Caudate,0.0,1
1,train,12,12,Left-Putamen,0.0,1
1,train,13,13,Left-Pallidum,0.0,1
1,train,14,14,3rd-Ventricle,0.0,1
1,train,15,15,4th-Ventricle,0.0,1
1,train,16,16,Brain-Stem,0.0,1
1,train,17,17,Left-Hippocampus,0.0,1
1,train,18,18,Left-Amygdala,0.0,1
1,train,24,24,CSF,0.03434036620172677,1
1,train,26,26,Left-Accumbens-area,0.0,1
1,train,28,28,Left-VentralDC,0.0,1
1,train,41,41,Right-Cerebral-White-Matter,0.000663374167104191,1
1,train,42,42,Right-Cerebral-Cortex,3.5631760012962025e-06,1
1,train,43,43,Right-Lateral-Ventricle,0.0,1
1,train,44,44,Right-Inf-Lat-Vent,0.0,1
1,train,46,46,Right-Cerebellum-White-Matter,0.0,1
1,train,47,47,Right-Cerebellum-Cortex,0.0,1
1,train,49,49,Right-Thalamus,0.0010402321609029525,1
1,train,50,50,Right-Caudate,0.0,1
1,train,51,51,Right-Putamen,0.0,1
1,train,52,52,Right-Pallidum,0.00015433527795545368,1
1,train,53,53,Right-Hippocampus,0.0,1
1,train,54,54,Right-Amygdala,0.0,1
1,train,58,58,Right-Accumbens-area,0.0,1
1,train,60,60,Right-VentralDC,0.0,1
1,train,100,100,Non-Brain-1,0.0,1
1,train,101,101,Non-Brain-2,1.0027143477392586e-06,1
1,train,102,102,Non-Brain-3,0.00011627637456077048,1
1,train,103,103,Non-Brain-4,0.0006481400228772915,1
1,train,104,104,Non-Brain-5,0.0,1
1,train,105,105,Non-Brain-6,0.0,1
1,eval,0,0,Unknown,0.7947278481206231,0
1,eval,2,2,Left-Cerebral-White-Matter,0.0014607309978453878,1
1,eval,3,3,Left-Cerebral-Cortex,0.001048218029345974,1
1,eval,4,4,Left-Lateral-Ventricle,0.0,1
1,eval,5,5,Left-Inf-Lat-Vent,0.0,1
1,eval,7,7,Left-Cerebellum-White-Matter,0.0,1
1,eval,8,8,Left-Cerebellum-Cortex,0.0,1
1,eval,10,10,Left-Thalamus,0.0,1
1,eval,11,11,Left-Caudate,0.0,1
1,eval,12,12,Left-Putamen,0.0,1
1,eval,13,13,Left-Pallidum,0.0,1
1,eval,14,14,3rd-Ventricle,0.0,1
1,eval,15,15,4th-Ventricle,0.0,1
1,eval,16,16,Brain-Stem,0.0,1
1,eval,17,17,Left-Hippocampus,0.0,1
